QUESTION	QUESTION-ALIGNMENT	CHOICE 1	CHOICE 2	CHOICE 3	CHOICE 4	CORRECT CHOICE	RELEVANT TABLE	RELEVANT ROW	RELEVANT COL
Which orbital event is the day with the longest period of daylight?	"0,1,2,3"	Winter solstice	Fall equinox	Spring equinox	Summer solstice	4	regents-01	1	1
The _______ is the day with the longest period of daylight?	"0,1,3"	summer solstice	winter solstice	spring equinox	fall equinox	1	regents-01	1	1
What is the orbital event with the longest day and the shortest night?	"0,1,2,3,4,5"	Summer solstice	Winter solstice	Spring equinox	Fall equinox	1	regents-01	1	1
The summer solstice has the _______ period of daylight.	"0,1,2,3"	longest	shortest	midrange	smallest	1	regents-01	1	3
The summer solstice has what period of daylight compared to other orbital events?	"0,1,3"	Shortest	Longest	Midrange	None	2	regents-01	1	3
Which period of daylight is the summer solstice related?	"0,1,3"	average	shortest	longest	midrange	3	regents-01	1	3
The summer solstice is the day with the longest period of daylight and what period of night?	"0,1,2,3,4,5"	Midrange	Short	Shortest	Longest	3	regents-01	1	5
The summer solstice is the day with the _______ period of night?	"0,1,2,5"	shortest	longest	midrange	None of the above	1	regents-01	1	5
The summer solstice has the _______ period of night.	"0,1,2,5"	longest	midrange	shortest	hottest	3	regents-01	1	5
Which day has the longest period of night?	"1,4,5"	summer solstice	winter solstice	spring equinox	fall equinox	2	regents-01	2	1
What orbital event is the day with the longest period of night?	"1,4,5"	summer solstice	winter solstice	spring equinox	fall equinox?	2	regents-01	2	1
Which orbital event is the day with the longest period of night?	"1,2,4,5"	summer solstice	fall equinox	winter solstice	spring equinox	3	regents-01	2	1
The winter solstice is the day with the _______ period of daylight?	"0,1,2,3"	longest	shortest	midrange	none of the above	2	regents-01	2	3
The winter solstice has the _______ period of daylight.	"0,1,3"	longest	moderate	midrange	shortest	4	regents-01	2	3
The winter solstice has the _______ period of daylight.	"1,3"	shortest	middlemost	longest	highest	1	regents-01	2	3
The winter solstice has a _______ period of night compared to the other orbital events.	"1,2,5"	tiny	short	midrange	long	4	regents-01	2	5
The winter solstice has the _______ period of night?	"0,1,5"	midrange	longest	shortest	none of the above	2	regents-01	2	5
Which period of night is the winter solstice related?	"0,1,2,5"	longest	shortest	quickest	midrange	1	regents-01	2	5
The _______ is the day with the midrange period of night?	"0,1,2,5"	summer solstice	winter solstice	spring equinox	fall equinox	3	regents-01	3	1
Which orbital event has midrange day and night periods and happens around Easter?	"2,3,5"	Summer solstice	Winter solstice	Spring equinox	Fall equinox	3	regents-01	3	1
The fall equinox and _______ both have midrange periods for day and night.	"0,1,2,5"	summer solstice	spring equinox	winter solstice	autumn solstice	2	regents-01	3	1
"Compared to the other orbital events, the spring equinox has a _______ period of daylight."	"1,3"	very long	long	midrange	short	3	regents-01	3	3
The spring equinox is the day with the _______ period of daylight?	"0,1,2,3"	midrange	shortest	longest	None of the above	1	regents-01	3	3
Which period of daylight is associated with the spring equinox?	"0,1,2,3"	longest	midrange	shortest	most lengthy	2	regents-01	3	3
The spring equinox has the _______ period of night?	"0,1,5"	longest	shortest	midrange	none of the above	3	regents-01	3	5
The spring equinox also has _______ periods for both daylight and night.	"0,1,4,5"	shortest	longest	slowest	midrange	4	regents-01	3	5
What period of the night does the spring equinox occur?	"0,1,5"	Longrange	Midrange	Shortest	Longest	2	regents-01	3	5
Which two orbital events have both the midrange period of daylight and period of night?	"0,2,3,4,5"	Winter Solstice and Summer Solstice	Fall Equinox and Spring Equinox	Winter Solstice and Spring Equinox	Summer Sosltice and Fall Equinox	2	regents-01	4	1
What is the Orbital event with the midrange period of night?	"0,2,4,5"	Summer solstice	Winter solstice	Spring equinox	fall equinox	4	regents-01	4	1
"In September, what is the day with the midrange period of daylight and midrange period of night?"	"1,2,3,4,5"	summer solstice	winter solstice	spring equinox	fall equinox	4	regents-01	4	1
The fall equinox has what period of daylight?	"0,1,3"	Longest	Shortest	Midrange	Infinite	3	regents-01	4	3
